id,score,probability
225096,679.573293,0.249858
220040,603.342087,0.489356
26535,556.066584,0.648578
77272,525.433724,0.738359
193584,586.133196,0.548840
239056,643.890238,0.353270
237967,580.902161,0.566725
47362,566.076499,0.616337
225452,627.295880,0.407418
72809,658.066982,0.309763
84014,675.893246,0.259541
92076,552.593801,0.659471
19827,648.559856,0.338624
163304,625.774014,0.412521
62938,648.649047,0.338347
137547,619.153256,0.434928
13374,668.257188,0.280396
176608,581.952111,0.563148
60008,757.984241,0.100981
105778,559.620175,0.637270
195690,653.341334,0.323941
171528,618.934476,0.435674
171334,562.456519,0.628132
116596,602.687085,0.491625
179935,544.147155,0.685256
11485,524.657904,0.740432
64935,605.681814,0.481255
86990,553.444958,0.656817
18373,624.078519,0.418229
210480,665.415530,0.288413
140537,618.764973,0.436252
63798,577.920286,0.576846
208381,659.612737,0.305200
98658,577.347659,0.578783
101536,667.836951,0.281573
58255,586.923661,0.546125
164304,621.398238,0.427296
72596,623.665646,0.419622
61553,585.100211,0.552383
247085,541.647689,0.692681
180429,627.526947,0.406644
16257,660.508083,0.302574
82010,603.204238,0.489834
140437,621.717146,0.426214
27767,673.382069,0.266287
112934,532.639526,0.718607
136882,551.020424,0.664352
50282,600.189050,0.500282
172073,564.138893,0.622669
209599,594.419126,0.520268
58728,598.458458,0.506280
183656,649.196216,0.336651
22077,631.474321,0.393511
77144,541.969769,0.691730
183966,637.356671,0.374227
189152,628.754009,0.402547
221331,565.785512,0.617290
213895,674.196749,0.264087
131287,595.956365,0.514947
128253,633.015395,0.388424
106740,684.083666,0.238323
94863,580.682040,0.567474
179557,584.939813,0.552933
242651,571.078748,0.599812
28319,545.885253,0.680036
78121,605.172717,0.483017
29401,651.256848,0.330302
230214,568.714730,0.607653
202794,637.924480,0.372386
54047,599.649842,0.502151
44530,650.457620,0.332757
190410,630.918696,0.395351
125164,623.441244,0.420380
114706,600.715679,0.498457
150276,588.178195,0.541811
44252,620.181053,0.431430
231577,566.247880,0.615775
188405,632.721169,0.389394
183162,707.553291,0.184334
248614,612.224424,0.458665
34600,689.259088,0.225544
149830,649.378182,0.336088
70684,674.106267,0.264330
10030,705.171292,0.189351
235480,591.953705,0.528792
240637,611.942695,0.459635
88245,591.014875,0.532034
5239,579.135411,0.572729
22690,603.533869,0.488692
97192,572.707660,0.594380
168486,637.758098,0.372925
52867,573.960511,0.590186
128298,690.722782,0.222020
221904,519.016198,0.755178
14180,687.645680,0.229475
228685,575.683582,0.584396
109888,647.753443,0.341132
195298,670.218707,0.274943
52902,634.375671,0.383954
160878,574.583762,0.588094
229615,620.773915,0.429415
220351,603.929457,0.487322
187112,664.055471,0.292298
178517,620.233938,0.431250
31731,606.403895,0.478756
109293,589.444140,0.537451
239152,542.246867,0.690910
183117,544.354527,0.684636
71697,587.159443,0.545315
172850,599.841968,0.501485
117502,635.404509,0.380586
51767,623.376931,0.420597
124581,586.689427,0.546930
169363,612.163512,0.458875
101165,620.431675,0.430578
63721,584.415287,0.554730
172112,552.073159,0.661090
17083,671.434405,0.271596
205241,542.734013,0.689466
178332,671.371486,0.271768
101069,675.749152,0.259925
198365,539.482740,0.699033
194890,576.952935,0.580116
99983,581.228739,0.565613
63837,596.522342,0.512987
220559,645.032149,0.349661
147258,639.256716,0.368080
53816,538.794839,0.701035
219565,573.311691,0.592360
27866,566.116708,0.616205
238243,596.338354,0.513624
235114,585.563318,0.550795
228370,659.104027,0.306697
129593,628.602242,0.403053
150651,618.212975,0.438135
247427,719.462190,0.160792
64006,717.462691,0.164567
155154,534.396458,0.713656
138188,597.863676,0.508341
198809,624.030253,0.418391
113826,586.073827,0.549044
62744,612.091580,0.459123
223271,588.361652,0.541179
222175,645.122017,0.349378
166643,629.008323,0.401699
124498,590.745361,0.532964
245614,591.391957,0.530732
226911,618.987644,0.435493
189367,662.687325,0.296237
13586,662.945933,0.295490
50860,625.241446,0.414311
61924,628.015420,0.405012
141864,653.995269,0.321959
72790,682.526923,0.242262
248775,579.714955,0.570762
86896,575.556469,0.584824
134227,605.368088,0.482340
41788,615.047767,0.448964
78053,621.115894,0.428254
